内容項目,１年,２年,３年,４年,５年,６年
入学式,1,0,0,0,0,0
第１学期始業式,0,1,1,1,1,1
第１学期終業式,1,1,1,1,1,1
第２学期始業式,1,1,1,1,1,1
修了式,1,1,1,1,1,0
卒業式練習1,0,0,0,0,1,2
卒業式練習2,0,0,0,0,1,2
卒業式予行,0,0,0,0,2,2
卒業式,0,0,0,0,2,2
