名称,開始日,終了日
学年始休業日,2025/4/1,2025/4/7
夏季休業日,2025/7/22,2025/8/22
学期間休業日,2025/10/14,2025/10/15
冬季休業日,2025/12/24,2026/1/7
学年末休業日,2026/3/25,2026/3/31
