内容項目,１年,２年,３年,４年,５年,６年
全校除草1,1,1,1,1,1,1
全校除草2,1,1,1,1,1,1
プール清掃,0,0,0,0,1,1
運動会準備1,0,0,0,0,1,1
運動会準備2,0,0,0,0,0,1
学習発表会準備,0,0,0,0,0,1
学習発表会片付け,0,0,0,0,0,1
卒業式準備,0,0,0,0,1,0
大掃除,1,1,1,1,1,1
