内容項目,１年,２年,３年,４年,５年,６年
全校除草1,2025/5/2,2025/5/2,2025/5/2,2025/5/2,2025/5/2,2025/5/2
全校除草2,2025/10/6,2025/10/6,2025/10/6,2025/10/6,2025/10/6,2025/10/6
プール清掃,,,,,2025/5/28,2025/5/28
運動会準備1,,,,,2025/5/14,2025/5/14
運動会準備2,,,,,,2025/5/16
学習発表会準備,,,,,,2025/11/14
学習発表会片付け,,,,,,2025/11/15
卒業式準備,,,,,2025/3/17,
大掃除,2025/3/5,2025/3/5,2025/3/5,2025/3/5,2025/3/5,2025/3/5
