内容項目,１年,２年,３年,４年,５年,６年
１年生を迎える会,1,1,1,1,1,1
６年生を送る会,2,2,2,2,2,2
ゆりの木タイム1,1,1,1,1,1,1
ゆりの木タイム2,1,1,1,1,1,1
ゆりの木タイム3,1,1,1,1,1,1
ゆりの木タイム4,1,1,1,1,1,1
ゆりの木タイム5,1,1,1,1,1,1
