内容項目,１年,２年,３年,４年,５年,６年
学習発表会練習1,1,1,1,1,1,1
学習発表会練習2,1,1,1,1,1,1
学習発表会練習3,2,2,1,1,1,1
学習発表会練習4,2,2,1,1,1,1
学習発表会児童公開,3,3,3,3,3,3
学習発表会一般公開,2,2,2,2,2,2
こころの劇場,0,0,0,0,0,1
市音楽発表会,0,0,0,4,0,0
