内容項目,１年,２年,３年,４年,５年,６年
学習発表会練習1,2025/11/6,2025/11/6,2025/11/6,2025/11/6,2025/11/6,2025/11/6
学習発表会練習2,2025/11/7,2025/11/7,2025/11/7,2025/11/7,2025/11/7,2025/11/7
学習発表会練習3,2025/11/10,2025/11/10,2025/11/10,2025/11/10,2025/11/10,2025/11/10
学習発表会練習4,2025/11/11,2025/11/11,2025/11/11,2025/11/11,2025/11/11,2025/11/11
学習発表会児童公開,2025/11/12,2025/11/12,2025/11/12,2025/11/12,2025/11/12,2025/11/12
学習発表会一般公開,2025/11/15,2025/11/15,2025/11/15,2025/11/15,2025/11/15,2025/11/15
こころの劇場,,,,,,2025/7/14
市音楽発表会,,,,2025/11/6,,
