内容項目,１年,２年,３年,４年,５年,６年
入学式,2025/4/8,,,,,
第１学期始業式,,2025/4/8,2025/4/8,2025/4/8,2025/4/8,2025/4/8
第１学期終業式,2025/10/10,2025/10/10,2025/10/10,2025/10/10,2025/10/10,2025/10/10
第２学期始業式,2025/10/16,2025/10/16,2025/10/16,2025/10/16,2025/10/16,2025/10/16
修了式,2025/3/24,2025/3/24,2025/3/24,2025/3/24,2025/3/24,
卒業式練習1,,,,,2025/3/9,2025/3/9
卒業式練習2,,,,,2025/3/10,2025/3/10
卒業式予行,,,,,2025/3/12,2025/3/12
卒業式,,,,,2025/3/19,2025/3/19
