内容項目,１年,２年,３年,４年,５年,６年
１年生を迎える会,2025/4/24,2025/4/24,2025/4/24,2025/4/24,2025/4/24,2025/4/24
６年生を送る会,2025/3/5,2025/3/5,2025/3/5,2025/3/5,2025/3/5,2025/3/5
ゆりの木タイム1,2025/6/26,2025/6/26,2025/6/26,2025/6/26,2025/6/26,2025/6/26
ゆりの木タイム2,2025/6/27,2025/6/27,2025/6/27,2025/6/27,2025/6/27,2025/6/27
ゆりの木タイム3,2025/9/25,2025/9/25,2025/9/25,2025/9/25,2025/9/25,2025/9/25
ゆりの木タイム4,2025/12/11,2025/12/11,2025/12/11,2025/12/11,2025/12/11,2025/12/11
ゆりの木タイム5,2025/1/28,2025/1/28,2025/1/28,2025/1/28,2025/1/28,2025/1/28
